epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,29720.8,1.41183,0.64499,0.94712,0.8738,0.83242,0.8429,0.42368,1.79977,0.84841,0.974,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,30643.5,1.41017,0.6446,0.94632,0.87563,0.83069,0.84018,0.42164,1.80192,0.8526,0.97446,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,31564.7,1.40635,0.64171,0.94498,0.87377,0.82846,0.83707,0.41843,1.80539,0.85899,0.97532,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,32483.6,1.40402,0.63896,0.94497,0.87561,0.828,0.83813,0.41915,1.806,0.86059,0.97525,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,33401.9,1.39784,0.63378,0.94337,0.87876,0.82818,0.84089,0.42126,1.80424,0.85478,0.97514,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,34322.4,1.39734,0.63447,0.94234,0.87771,0.82886,0.84142,0.42229,1.80306,0.85348,0.97491,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,35240.7,1.39555,0.63243,0.94233,0.87687,0.82776,0.84193,0.42219,1.80761,0.8587,0.9754,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,36161,1.39348,0.63176,0.94179,0.87673,0.82623,0.84038,0.42052,1.81312,0.85856,0.97634,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,37076.8,1.38951,0.62951,0.94021,0.87784,0.82576,0.84056,0.41976,1.81584,0.85578,0.97671,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,37996.8,1.38549,0.62829,0.93963,0.87583,0.82769,0.84219,0.42127,1.81609,0.85301,0.97664,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,38914.9,1.38224,0.62511,0.93839,0.87567,0.82729,0.84365,0.4223,1.81764,0.8525,0.97727,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
