epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84612,0,98.4144,0,0,0,0,0,0,94.2083,0,0.000659259,0.000659259,0.000659259
2,10.0618,0,58.7126,0,0,0,0,0,0,nan,0,0.00106339,0.00106339,0.00106339
3,13.2388,0,35.8934,0,0,0,0,0,0,14.6016,0,0.00120353,0.00120353,0.00120353
4,16.3462,0,22.3279,0,0,0,0,0,0,0.05794,0,0.000812,0.000812,0.000812
5,19.5002,0,16.0747,0,0,0,0,0,0,0.00228,0,0.000416,0.000416,0.000416
