epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,15.9676,5.07568,57.606,6.57723,0,0,0,0,3.83024,6.08142,3.12723,2.96935e-05,2.96935e-05,2.96935e-05
47,16.3169,4.72224,36.375,5.2215,0,0,0,0,3.80982,6.59763,3.13099,2.98114e-05,2.98114e-05,2.98114e-05
48,16.6565,4.20144,28.4034,4.85343,0,0,0,0,3.80982,6.59763,3.13099,2.99058e-05,2.99058e-05,2.99058e-05
49,17.0099,4.90337,31.6465,5.42542,0,0,0,0,3.81481,6.88574,3.16055,2.99766e-05,2.99766e-05,2.99766e-05
50,17.3541,4.40818,18.8858,5.18665,0,0,0,0,3.81481,6.88574,3.16055,3.00238e-05,3.00238e-05,3.00238e-05
51,17.7036,4.91328,20.306,4.90146,0,0,0,0,3.83461,6.75047,3.24642,3.00475e-05,3.00475e-05,3.00475e-05
52,18.0392,3.93655,17.4191,4.38278,0,0,0,0,3.83461,6.75047,3.24642,3.00476e-05,3.00476e-05,3.00476e-05
53,18.3765,4.11236,23.6122,5.46785,0,0,0,0,3.83461,6.75047,3.24642,3.00242e-05,3.00242e-05,3.00242e-05
54,18.7256,5.385,38.8924,6.48636,0,0,0,0,3.89299,7.24895,3.44588,2.99772e-05,2.99772e-05,2.99772e-05
55,19.0633,4.14816,17.7027,4.3072,0,0,0,0,3.89299,7.24895,3.44588,2.99066e-05,2.99066e-05,2.99066e-05
56,19.4045,4.30233,38.6832,6.01625,0,0,0,0,3.89299,7.24895,3.44588,2.98125e-05,2.98125e-05,2.98125e-05
57,19.7639,3.67814,19.503,4.34305,0,0,0,0,3.90031,7.30726,3.47544,2.96948e-05,2.96948e-05,2.96948e-05
58,20.1064,5.04042,43.5648,5.90515,0,0,0,0,3.90031,7.30726,3.47544,2.95535e-05,2.95535e-05,2.95535e-05
59,20.4499,4.85792,28.2044,4.30988,0,0,0,0,3.90031,7.30726,3.47544,2.93887e-05,2.93887e-05,2.93887e-05
60,20.802,4.08096,23.2842,4.80694,0,0,0,0,3.90789,7.11153,3.46689,2.92003e-05,2.92003e-05,2.92003e-05
61,21.1551,4.54253,20.8113,4.38032,0,0,0,0,3.90789,7.11153,3.46689,2.89884e-05,2.89884e-05,2.89884e-05
62,21.4985,5.97087,46.5188,5.57191,0,0,0,0,3.90789,7.11153,3.46689,2.87529e-05,2.87529e-05,2.87529e-05
63,21.8502,4.32603,17.4304,6.52914,0,0,0,0,3.99601,7.09888,3.42545,2.84938e-05,2.84938e-05,2.84938e-05
64,22.2011,4.29466,41.4999,5.27468,0,0,0,0,3.99601,7.09888,3.42545,2.82112e-05,2.82112e-05,2.82112e-05
65,22.5441,4.74998,29.8,4.99531,0,0,0,0,3.99601,7.09888,3.42545,2.7905e-05,2.7905e-05,2.7905e-05
66,22.8957,4.06854,14.6003,4.58227,0,0,0,0,4.06934,8.69681,3.4002,2.75753e-05,2.75753e-05,2.75753e-05
