epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95202,2.65372,21.1316,1.43426,0.00028,0.71154,0.00096,0.00022,0.6287,14.3527,0.34153,0.000654762,0.000654762,0.000654762
2,10.3418,2.30603,2.07547,1.38407,0.0011,0.23077,0.00071,0.00016,0.93584,nan,0.78672,0.00130835,0.00130835,0.00130835
3,13.5482,2.36643,1.72888,1.33532,0.16656,0.24218,0.22617,0.0633,0.67623,50.6736,0.37345,0.00194873,0.00194873,0.00194873
