epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67547,3.31616,15.4298,1.66329,0.00137,0.59836,0.00166,0.00039,2.94739,7.83148,1.68215,0.000659259,0.000659259,0.000659259
2,11.2191,2.8787,8.14856,1.44171,0.1748,0.29508,0.147,0.02688,2.89243,2.88522,1.73682,0.00106339,0.00106339,0.00106339
3,14.6572,2.72593,5.28023,1.39488,0.18633,0.36066,0.13739,0.03338,2.75594,2.63935,1.6677,0.00120353,0.00120353,0.00120353
4,18.0631,2.60049,4.02819,1.35046,0.3291,0.56292,0.28277,0.07943,2.66427,1.94908,1.57353,0.000812,0.000812,0.000812
5,21.5253,2.49211,3.36861,1.32467,0.33685,0.56557,0.32136,0.0796,2.55597,1.78685,1.52812,0.000416,0.000416,0.000416
